index	monomial	coefficient
499	b^3*u^6*v^4	-0.00000000000000000e+00
500	b^3*u^7*v^3	-0.00000000000000000e+00
501	b^3*u^8*v^2	0.00000000000000000e+00
502	b^3*u^9*v	-0.00000000000000000e+00
503	b^3*u^10	0.00000000000000000e+00
504	b^4*v^9	0.00000000000000000e+00
505	b^4*u*v^8	0.00000000000000000e+00
506	b^4*u^2*v^7	-0.00000000000000000e+00
507	b^4*u^3*v^6	-0.00000000000000000e+00
508	b^4*u^4*v^5	-0.00000000000000000e+00
509	b^4*u^5*v^4	-0.00000000000000000e+00
510	b^4*u^6*v^3	-0.00000000000000000e+00
511	b^4*u^7*v^2	-0.00000000000000000e+00
512	b^4*u^8*v	0.00000000000000000e+00
513	b^4*u^9	-0.00000000000000000e+00
514	b^5*v^8	-0.00000000000000000e+00
515	b^5*u*v^7	-0.00000000000000000e+00
516	b^5*u^2*v^6	-0.00000000000000000e+00
517	b^5*u^3*v^5	-0.00000000000000000e+00
518	b^5*u^4*v^4	-0.00000000000000000e+00
519	b^5*u^5*v^3	-0.00000000000000000e+00
520	b^5*u^6*v^2	-0.00000000000000000e+00
521	b^5*u^7*v	0.00000000000000000e+00
522	b^5*u^8	0.00000000000000000e+00
523	b^6*v^7	-0.00000000000000000e+00
524	b^6*u*v^6	1.07347679606690249e+00
525	b^6*u^2*v^5	3.78775251147252856e-01
526	b^6*u^3*v^4	-1.25673455172220194e+00
527	b^6*u^4*v^3	5.68991969974758094e-01
528	b^6*u^5*v^2	1.06569455312580352e+00
529	b^6*u^6*v	0.00000000000000000e+00
530	b^6*u^7	0.00000000000000000e+00
531	b^7*v^6	4.92365378877104298e+00
532	b^7*u*v^5	-3.09731849201957044e+00
533	b^7*u^2*v^4	-4.40803488775935115e+00
534	b^7*u^3*v^3	-4.25871711997326408e+00
535	b^7*u^4*v^2	-6.38102140809928553e+00
536	b^7*u^5*v	0.00000000000000000e+00
537	b^7*u^6	0.00000000000000000e+00
538	b^8*v^5	6.81046511704521418e+00
539	b^8*u*v^4	2.66337419845618317e-01
540	b^8*u^2*v^3	-1.19747812116970120e+00
541	b^8*u^3*v^2	-2.69811717315033350e+00
542	b^8*u^4*v	-5.02688229141603315e+00
543	b^8*u^5	0.00000000000000000e+00
544	b^9*v^4	5.75630774691909419e+00
545	b^9*u*v^3	4.38310726348955959e-01
546	b^9*u^2*v^2	-7.47108677155638112e-01
547	b^9*u^3*v	-4.05792542870904516e+00
